Topo,Z,Corr,Lmax,K,Theta,Lambda,b,REPS,STEPS,C_mean,C_std,SE_C,V_mean,V_std,SE_V
BA,4,max,1,0.5,0.1,0.5,2.0,50,15000,0.9905606666666666,0.06607533333333324,0.009344463253832291,0.9760800000000001,0.13946466792704165,0.01972328248542823
BA,4,max,1,0.5,0.1,0.7,1.0,50,15000,1.0,0.0,0.0,0.99676,0.001871470010446335,0.0002646658270347725
BA,4,max,1,0.5,0.1,0.7,1.1,50,15000,1.0,0.0,0.0,0.9965999999999999,0.002340939982143927,0.00033105890714493725
BA,4,max,1,0.5,0.1,0.7,1.2,50,15000,1.0,0.0,0.0,0.9965600000000001,0.0018778711350888818,0.0002655710827631655
BA,4,max,1,0.5,0.1,0.7,1.3,50,15000,1.0,0.0,0.0,0.99684,0.0013908270920570981,0.00019669265365030814
BA,4,max,1,0.5,0.1,0.7,1.4,50,15000,1.0,0.0,0.0,0.99732,0.001173712060089698,0.00016598795136997158
BA,4,max,1,0.5,0.1,0.7,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9769999999999999,0.1392978104637686,0.019699685276673838
BA,4,max,1,0.5,0.1,0.7,1.6,50,15000,1.0,0.0,0.0,0.9969999999999999,0.0015099668870541512,0.0002135415650406264
BA,4,max,1,0.5,0.1,0.7,1.7,50,15000,1.0,0.0,0.0,0.9967200000000002,0.0016857046004564397,0.00023839463081202163
BA,4,max,1,0.5,0.1,0.7,1.8,50,15000,1.0,0.0,0.0,0.9967999999999999,0.0016000000000000014,0.00022627416997969538
BA,4,max,1,0.5,0.1,0.7,1.9,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9571199999999999,0.19435685117844442,0.027486209487668535
BA,4,max,1,0.5,0.1,0.7,2.0,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97752,0.13765322226522705,0.01946710538318422
BA,4,max,1,0.5,0.1,1.0,1.0,50,15000,1.0,0.0,0.0,0.99708,0.0015600000000000015,0.00022061731573020304
BA,4,max,1,0.5,0.1,1.0,1.1,50,15000,1.0,0.0,0.0,0.99684,0.0017476841819962796,0.0002471598672924067
BA,4,max,1,0.5,0.1,1.0,1.2,50,15000,1.0,0.0,0.0,0.99692,0.001706927063468151,0.000241395940313834
BA,4,max,1,0.5,0.1,1.0,1.3,50,15000,1.0,0.0,0.0,0.9967199999999999,0.001778088861671431,0.00025145973832802756
BA,4,max,1,0.5,0.1,1.0,1.4,50,15000,1.0,0.0,0.0,0.9969600000000001,0.0016608431593621372,0.00023487869209445138
BA,4,max,1,0.5,0.1,1.0,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.9771199999999999,0.13874071356310663,0.01962089987742662
BA,4,max,1,0.5,0.1,1.0,1.6,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97724,0.13875554907822604,0.019622997936095288
BA,4,max,1,0.5,0.1,1.0,1.7,50,15000,1.0,0.0,0.0,0.9968,0.0014966629547095778,0.0002116601048851674
BA,4,max,1,0.5,0.1,1.0,1.8,50,15000,1.0,0.0,0.0,0.99732,0.001362938002992067,0.0001927485408505083
BA,4,max,1,0.5,0.1,1.0,1.9,50,15000,1.0,0.0,0.0,0.9967599999999999,0.0015435025105259804,0.00021828421839427623
BA,4,max,1,0.5,0.1,1.0,2.0,50,15000,1.0,0.0,0.0,0.9968799999999999,0.0016569852141766399,0.00023433309625402917
BA,4,max,1,0.5,0.1,2.0,1.0,50,15000,1.0,0.0,0.0,0.99704,0.0014554724318928214,0.0002058348852842979
BA,4,max,1,0.5,0.1,2.0,1.1,50,15000,1.0,0.0,0.0,0.9968,0.0016492422502470659,0.00023323807579381226
BA,4,max,1,0.5,0.1,2.0,1.2,50,15000,1.0,0.0,0.0,0.9970399999999999,0.0013994284547628733,0.00019790907002964787
BA,4,max,1,0.5,0.1,2.0,1.3,50,15000,1.0,0.0,0.0,0.99676,0.001871470010446335,0.0002646658270347725
BA,4,max,1,0.5,0.1,2.0,1.4,50,15000,1.0,0.0,0.0,0.9970800000000001,0.0015600000000000013,0.000220617315730203
BA,4,max,1,0.5,0.1,2.0,1.5,50,15000,0.98,0.13999999999999999,0.019798989873223326,0.97712,0.13874359660899668,0.019621307601686486
BA,4,max,1,0.5,0.1,2.0,1.6,50,15000,1.0,0.0,0.0,0.9970399999999999,0.001341044369139218,0.0001896523134580753
BA,4,max,1,0.5,0.1,2.0,1.7,50,15000,1.0,0.0,0.0,0.9970400000000003,0.0017083325203250115,0.00024159470192866423
BA,4,max,1,0.5,0.1,2.0,1.8,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0020099751242241798,0.00028425340807103816
BA,4,max,1,0.5,0.1,2.0,1.9,50,15000,0.9720632,0.14956328064655441,0.02115144199233707,0.9573600000000002,0.19441170335141864,0.027493966756363113
BA,4,max,1,0.5,0.1,2.0,2.0,50,15000,0.96,0.19595917942265428,0.02771281292110204,0.9572800000000001,0.1948019548156537,0.027549156647708833
BA,4,max,1,0.5,0.2,0.0,1.0,50,15000,1.0,0.0,0.0,0.99684,0.001836954000512807,0.0002597845260980725
BA,4,max,1,0.5,0.2,0.0,1.1,50,15000,1.0,0.0,0.0,0.99692,0.0016593974810153247,0.00023467424230196228
BA,4,max,1,0.5,0.2,0.0,1.2,50,15000,1.0,0.0,0.0,0.99664,0.0017636326148038897,0.00024941531628991853
BA,4,max,1,0.5,0.2,0.0,1.3,50,15000,1.0,0.0,0.0,0.99668,0.0013629380029920668,0.00019274854085050828
BA,4,max,1,0.5,0.2,0.0,1.4,50,15000,1.0,0.0,0.0,0.9768000000000001,0.13955070762987914,0.019735450336893764
BA,4,max,1,0.5,0.2,0.0,1.5,50,15000,1.0,0.0,0.0,0.9765600000000001,0.13952779794721912,0.019732210418501015
BA,4,max,1,0.5,0.2,0.0,1.6,50,15000,1.0,0.0,0.0,0.9571999999999999,0.19539375629738018,0.027632850015877838
BA,4,max,1,0.5,0.2,0.0,1.7,50,15000,1.0,0.0,0.0,0.9568800000000001,0.19533034992033366,0.027623883000041826
BA,4,max,1,0.5,0.2,0.0,1.8,50,15000,0.9686166666666667,0.14697006342638474,0.020784705696042727,0.91712,0.27044945109946145,0.03824732816812175
BA,4,max,1,0.5,0.2,0.0,1.9,50,15000,0.9518646666666666,0.20246523678674097,0.028632908377288914,0.9367200000000001,0.23666575924708672,0.033469592647655574
BA,4,max,1,0.5,0.2,0.0,2.0,50,15000,0.9444361333333333,0.18105887620005445,0.02560559183101482,0.89716,0.29879279509385764,0.04225568231610986
BA,4,max,1,0.5,0.2,0.1,1.0,50,15000,1.0,0.0,0.0,0.9965999999999999,0.0020099751242241798,0.00028425340807103816
BA,4,max,1,0.5,0.2,0.1,1.1,50,15000,1.0,0.0,0.0,0.9958400000000001,0.0026180909075125738,0.0003702539668929966
BA,4,max,1,0.5,0.2,0.1,1.2,50,15000,1.0,0.0,0.0,0.99676,0.002112439348241745,0.00029874403759740575
BA,4,max,1,0.5,0.2,0.1,1.3,50,15000,1.0,0.0,0.0,0.9966799999999999,0.001725572368809841,0.00024403278468271454
BA,4,max,1,0.5,0.2,0.1,1.4,50,15000,1.0,0.0,0.0,0.99708,0.0015078461459976625,0.0002132416469641896
BA,4,max,1,0.5,0.2,0.1,1.5,50,15000,1.0,0.0,0.0,0.99664,0.0024146221236458535,0.00034147913552660903
